     n      m             Cnm             Snm 
    22     11   -4.815909E-09   -1.756387E-08 
    22     12    2.418865E-09   -8.211712E-09 
    22     13   -1.715867E-08    1.951371E-08 
    22     14    1.087233E-08    8.327310E-09 
    22     15    2.576789E-08    4.713144E-09 
    22     16    1.091115E-10   -7.290186E-09 
    22     17    8.567657E-09   -1.459557E-08 
    22     18    1.019674E-08   -1.619903E-08 
    22     19    1.405564E-08   -3.361510E-09 
    22     20   -1.677197E-08    1.958128E-08 
    22     21   -2.531629E-08    2.396773E-08 
    22     22   -1.008633E-08    2.333674E-09 
    23      0   -2.225682E-08   -2.225682E-08 
    23      1    9.172598E-09    1.619089E-08 
    23      2   -1.439282E-08   -4.587186E-09 
    23      3   -2.407640E-08   -1.749661E-08 
    23      4   -2.387041E-08    8.286117E-09 
    23      5   -8.817806E-10    1.636374E-10 
    23      6   -1.193017E-08    1.613060E-08 
    23      7   -6.887955E-09   -1.914240E-09 
    23      8    7.356969E-09    1.812042E-10 
    23      9    1.818320E-09   -1.284956E-08 
    23     10    1.685961E-08   -2.267215E-09 
    23     11    9.231583E-09    1.429318E-08 
    23     12    1.646491E-08   -1.201111E-08 
    23     13   -1.161237E-08   -5.205348E-09 
    23     14    6.959046E-09   -1.465381E-09 
    23     15    1.894663E-08   -3.589798E-09 
    23     16    5.903450E-09    1.107526E-08 
    23     17   -5.462925E-09   -1.293289E-08 
    23     18    8.545030E-09   -1.481668E-08 
    23     19   -5.476064E-09    1.065495E-08 
    23     20    7.971056E-09   -5.456962E-09 
    23     21    1.571072E-08    1.174321E-08 
    23     22   -1.797413E-08    4.730462E-09 
    23     23    3.054524E-09   -1.204760E-08 
    24      0   -7.492670E-11   -7.492670E-11 
    24      1   -2.728961E-09   -1.532101E-09 
    24      2    9.562367E-10    1.515876E-08 
    24      3   -4.808894E-09   -9.735517E-09 
    24      4    5.969180E-09    5.091136E-09 
    24      5   -7.124470E-09   -2.142725E-08 
    24      6    3.621047E-09    1.359608E-09 
    24      7   -6.064365E-09    4.916566E-09 
    24      8    1.540623E-08   -3.608182E-09 
    24      9   -1.157599E-08   -1.783561E-08 
    24     10    1.097260E-08    2.125805E-08 
    24     11    1.518667E-08    1.780421E-08 
    24     12    1.148708E-08   -6.181206E-09 
    24     13   -3.021522E-09    2.935212E-09 
    24     14   -1.995557E-08   -2.044612E-09 
    24     15    6.356557E-09   -1.595805E-08 
    24     16    8.444767E-09    2.720611E-09 
    24     17   -1.194223E-08   -6.442102E-09 
    24     18   -3.696610E-10   -1.030035E-08 
    24     19   -4.445155E-09   -8.675490E-09 
    24     20   -5.656355E-09    8.638960E-09 
    24     21    5.539556E-09    1.411802E-08 
    24     22    3.990916E-09   -3.933689E-09 
    24     23   -6.193347E-09   -8.821033E-09 
    24     24    1.265868E-08   -3.688240E-09 
    25      0    3.207966E-09    3.207966E-09 
    25      1    6.371841E-09   -9.159225E-09 
    25      2    2.272022E-08    9.344584E-09 
    25      3   -9.680605E-09   -1.430710E-08 
    25      4    1.016255E-08    2.920363E-10 
    25      5   -1.104258E-08   -4.128086E-10 
    25      6    1.627242E-08    1.667819E-10 
    25      7    9.593515E-09   -6.622324E-09 
    25      8    2.080224E-09    1.824401E-10 
    25      9   -3.037457E-08    2.295279E-08 
    25     10    8.994422E-09   -4.414632E-09 
    25     11    1.890828E-09    1.032038E-08 
    25     12   -7.759124E-09    1.156995E-08 
    25     13    7.963443E-09   -1.165264E-08 
    25     14   -1.992111E-08    6.561274E-09 
    25     15   -4.444513E-09   -7.411040E-09 
    25     16    1.302439E-09   -1.290270E-08 
    25     17   -1.551288E-08   -3.705055E-09 
    25     18    1.538397E-09   -1.488325E-08 
    25     19    7.764072E-09    9.804195E-09 
    25     20   -7.984170E-09   -9.639467E-10 
    25     21    1.069634E-08    7.759314E-09 
    25     22   -1.413590E-08    3.860776E-09 
    25     23    8.584729E-09   -1.263500E-08 
    25     24    4.238031E-09   -8.396022E-09 
    25     25    1.048988E-08    4.945006E-09 
    26      0    5.889353E-09    5.889353E-09 
    26      1   -1.423046E-10   -6.648914E-09 
    26      2   -1.590093E-09    1.150794E-08 
    26      3    1.510446E-08    4.046695E-09 
    26      4    1.907594E-08   -2.022781E-08 
    26      5    1.314809E-08    7.822215E-09 
    26      6    9.602808E-09   -1.051647E-08 
    26      7   -1.586917E-09    4.449686E-09 
    26      8    3.472940E-09    1.781457E-09 
    26      9   -1.309579E-08    7.133281E-10 
    26     10   -1.496931E-08   -5.661506E-09 
    26     11   -4.626591E-09    1.677019E-09 
    26     12   -1.701186E-08    2.329623E-09 
    26     13   -1.759900E-10    1.536123E-09 
    26     14    7.669884E-09    8.065080E-09 
    26     15   -1.335789E-08    8.296187E-09 
    26     16    1.584275E-09   -6.399897E-09 
    26     17   -1.200370E-08    7.920588E-09 
    26     18   -1.293630E-08    4.898970E-09 
    26     19   -2.263746E-09    3.769382E-09 
    26     20    6.232943E-09   -1.198196E-08 
    26     21   -9.162507E-09    1.940947E-09 
    26     22    1.037610E-08    7.067206E-09 
    26     23    1.021280E-09    1.072459E-08 
    26     24    9.027471E-09    1.477916E-08 
    26     25    3.783857E-09   -5.802762E-10 
    26     26    6.654403E-10    2.078027E-09 
    27      0    3.616918E-09    3.616918E-09 
    27      1    2.862798E-09    1.588078E-09 
    27      2    6.621642E-10   -6.195314E-10 
    27      3    3.532152E-09    1.048478E-08 
    27      4   -1.599404E-09    8.056892E-09 
    27      5    1.460896E-08    1.499110E-08 
    27      6    4.966235E-09    6.414583E-09 
    27      7   -1.113178E-08   -6.904808E-09 
    27      8   -8.038278E-09   -8.763932E-09 
    27      9    3.065326E-09    1.126990E-08 
    27     10   -1.351332E-08    1.269459E-09 
    27     11    2.237791E-09   -9.438689E-09 
    27     12   -1.096396E-08    2.069287E-09 
    27     13   -4.573205E-09   -4.672983E-09 
    27     14    1.533849E-08    1.182039E-08 
    27     15   -2.130556E-09    1.472140E-09 
    27     16    2.569700E-09    3.168342E-09 
    27     17    4.424510E-09    5.058694E-10 
    27     18   -2.070819E-09    7.877036E-09 
    27     19   -2.715393E-10   -2.401741E-09 
    27     20   -1.270993E-09    3.659558E-09 
    27     21    4.925293E-09   -6.651274E-09 
    27     22   -5.818312E-09    2.890172E-09 
    27     23   -5.321837E-09   -1.159615E-08 
    27     24    3.812812E-10   -2.240776E-09 
    27     25    1.209042E-08    6.009712E-09 
    27     26   -6.829563E-09   -2.386947E-09 
    27     27    8.061311E-09    1.065466E-09 
    28      0   -9.775311E-09   -9.775311E-09 
    28      1   -5.276043E-09    8.717782E-09 
    28      2   -1.501190E-08   -8.253148E-09 
    28      3    2.901896E-09    1.018372E-08 
    28      4   -1.413663E-09    1.128472E-08 
    28      5    1.197006E-08   -4.721784E-09 
    28      6   -4.611663E-09    1.292711E-08 
    28      7   -2.585878E-09    5.653405E-09 
    28      8   -3.068239E-09   -1.757832E-09 
    28      9    9.281016E-09   -1.269524E-08 
    28     10   -1.062803E-08    7.967217E-09 
    28     11   -3.543471E-09   -1.837962E-09 
    28     12   -8.669106E-10    1.033802E-08 
    28     13    2.126231E-09    5.900357E-09 
    28     14   -8.120326E-09   -1.286160E-08 
    28     15   -1.224894E-08   -2.186017E-09 
    28     16   -4.640429E-09   -1.328023E-08 
    28     17    1.379640E-08   -4.980134E-09 
    28     18    5.705648E-09   -3.333936E-09 
    28     19    6.275740E-09    2.410747E-08 
    28     20   -1.521257E-09    6.497799E-09 
    28     21    6.776203E-09    6.615763E-09 
    28     22   -2.232320E-09   -7.309165E-09 
    28     23    6.887965E-09    2.667899E-09 
    28     24    1.105642E-08   -1.388707E-08 
    28     25    7.368184E-09   -1.745083E-08 
    28     26    1.207065E-08    3.827996E-09 
    28     27   -8.032635E-09    1.206436E-09 
    28     28    6.815365E-09    6.683408E-09 
    29      0   -5.276468E-09   -5.276468E-09 
    29      1    4.029662E-09   -1.352769E-08 
    29      2   -2.378578E-09   -2.444812E-09 
    29      3    3.814904E-09   -1.157541E-08 
    29      4   -2.538996E-08    2.399998E-09 
    29      5   -7.982734E-09    5.956456E-09 
    29      6    1.164900E-08    1.038520E-08 
    29      7   -3.589719E-09   -3.149961E-09 
    29      8   -1.957818E-08    9.578293E-09 
    29      9    7.583324E-11    2.692174E-09 
    29     10    1.375895E-08    5.522511E-11 
    29     11   -6.229067E-09    6.867665E-09 
    29     12   -7.791892E-10   -4.857180E-09 
    29     13   -1.448780E-09   -2.637422E-09 
    29     14   -3.077789E-09   -4.723924E-09 
    29     15   -9.482775E-09   -7.049588E-09 
    29     16    1.515807E-10   -1.468288E-08 
    29     17   -2.283090E-09   -4.710787E-09 
    29     18   -3.550957E-09   -2.821916E-09 
    29     19   -6.212036E-09    6.814538E-09 
    29     20   -8.122359E-09    5.786474E-09 
    29     21   -9.959214E-09   -5.139675E-09 
    29     22    1.171249E-08   -1.238852E-09 
    29     23   -1.911697E-09    2.219613E-09 
    29     24    3.108529E-10   -2.239463E-09 
    29     25    5.788946E-09    8.742142E-09 
