     n      m             Cnm             Snm 
    23     22   -1.797320E-08    4.730868E-09 
    23     23    3.054416E-09   -1.204815E-08 
    24      0   -7.504404E-11   -7.504404E-11 
    24      1   -2.728972E-09   -1.531986E-09 
    24      2    9.560339E-10    1.515912E-08 
    24      3   -4.808870E-09   -9.735472E-09 
    24      4    5.968937E-09    5.091419E-09 
    24      5   -7.124988E-09   -2.142729E-08 
    24      6    3.621021E-09    1.359853E-09 
    24      7   -6.064593E-09    4.916519E-09 
    24      8    1.540641E-08   -3.608224E-09 
    24      9   -1.157602E-08   -1.783569E-08 
    24     10    1.097268E-08    2.125814E-08 
    24     11    1.518697E-08    1.780469E-08 
    24     12    1.148719E-08   -6.181148E-09 
    24     13   -3.021537E-09    2.935169E-09 
    24     14   -1.995537E-08   -2.044470E-09 
    24     15    6.357190E-09   -1.595847E-08 
    24     16    8.444215E-09    2.720460E-09 
    24     17   -1.194243E-08   -6.442573E-09 
    24     18   -3.698188E-10   -1.030045E-08 
    24     19   -4.445075E-09   -8.675479E-09 
    24     20   -5.657058E-09    8.638755E-09 
    24     21    5.539576E-09    1.411805E-08 
    24     22    3.991129E-09   -3.934286E-09 
    24     23   -6.193192E-09   -8.821707E-09 
    24     24    1.265879E-08   -3.687540E-09 
    25      0    3.208085E-09    3.208085E-09 
    25      1    6.371750E-09   -9.159289E-09 
    25      2    2.272040E-08    9.344539E-09 
    25      3   -9.680752E-09   -1.430743E-08 
    25      4    1.016259E-08    2.918719E-10 
    25      5   -1.104258E-08   -4.126851E-10 
    25      6    1.627223E-08    1.668831E-10 
    25      7    9.593788E-09   -6.622226E-09 
    25      8    2.080025E-09    1.825982E-10 
    25      9   -3.037449E-08    2.295267E-08 
    25     10    8.994552E-09   -4.414440E-09 
    25     11    1.890979E-09    1.032032E-08 
    25     12   -7.759380E-09    1.156976E-08 
    25     13    7.963382E-09   -1.165247E-08 
    25     14   -1.992154E-08    6.562607E-09 
    25     15   -4.444542E-09   -7.411224E-09 
    25     16    1.304256E-09   -1.290484E-08 
    25     17   -1.551311E-08   -3.706022E-09 
    25     18    1.537537E-09   -1.488316E-08 
    25     19    7.763768E-09    9.804638E-09 
    25     20   -7.984391E-09   -9.639875E-10 
    25     21    1.069665E-08    7.759796E-09 
    25     22   -1.413575E-08    3.861337E-09 
    25     23    8.585087E-09   -1.263524E-08 
    25     24    4.238625E-09   -8.395288E-09 
    25     25    1.048951E-08    4.945250E-09 
    26      0    5.889190E-09    5.889190E-09 
    26      1   -1.422442E-10   -6.648792E-09 
    26      2   -1.590116E-09    1.150824E-08 
    26      3    1.510458E-08    4.046973E-09 
    26      4    1.907573E-08   -2.022775E-08 
    26      5    1.314748E-08    7.822293E-09 
    26      6    9.602794E-09   -1.051630E-08 
    26      7   -1.587080E-09    4.449835E-09 
    26      8    3.473227E-09    1.781373E-09 
    26      9   -1.309585E-08    7.132839E-10 
    26     10   -1.496934E-08   -5.661680E-09 
    26     11   -4.626425E-09    1.677452E-09 
    26     12   -1.701180E-08    2.329469E-09 
    26     13   -1.760365E-10    1.535952E-09 
    26     14    7.670069E-09    8.065241E-09 
    26     15   -1.335747E-08    8.295997E-09 
    26     16    1.584078E-09   -6.400042E-09 
    26     17   -1.200377E-08    7.920270E-09 
    26     18   -1.293608E-08    4.898845E-09 
    26     19   -2.263604E-09    3.769376E-09 
    26     20    6.232534E-09   -1.198219E-08 
    26     21   -9.162622E-09    1.941075E-09 
    26     22    1.037617E-08    7.066675E-09 
    26     23    1.020905E-09    1.072435E-08 
    26     24    9.028073E-09    1.477921E-08 
    26     25    3.782588E-09   -5.801319E-10 
    26     26    6.648195E-10    2.078951E-09 
    27      0    3.617189E-09    3.617189E-09 
    27      1    2.862744E-09    1.588169E-09 
    27      2    6.622981E-10   -6.197076E-10 
    27      3    3.532108E-09    1.048463E-08 
    27      4   -1.599424E-09    8.056821E-09 
    27      5    1.460895E-08    1.499137E-08 
    27      6    4.966121E-09    6.414558E-09 
    27      7   -1.113157E-08   -6.904832E-09 
    27      8   -8.038356E-09   -8.763796E-09 
    27      9    3.065482E-09    1.126974E-08 
    27     10   -1.351315E-08    1.269740E-09 
    27     11    2.238028E-09   -9.438860E-09 
    27     12   -1.096436E-08    2.069178E-09 
    27     13   -4.573371E-09   -4.672935E-09 
    27     14    1.533790E-08    1.182157E-08 
    27     15   -2.130669E-09    1.471900E-09 
    27     16    2.571683E-09    3.166086E-09 
    27     17    4.424368E-09    5.051753E-10 
    27     18   -2.071695E-09    7.876830E-09 
    27     19   -2.718611E-10   -2.401212E-09 
    27     20   -1.271312E-09    3.659321E-09 
    27     21    4.925418E-09   -6.650971E-09 
    27     22   -5.818714E-09    2.890598E-09 
    27     23   -5.321339E-09   -1.159639E-08 
    27     24    3.814936E-10   -2.240530E-09 
    27     25    1.209069E-08    6.009507E-09 
    27     26   -6.829164E-09   -2.387717E-09 
    27     27    8.060662E-09    1.064931E-09 
    28      0   -9.775576E-09   -9.775576E-09 
    28      1   -5.275973E-09    8.718153E-09 
    28      2   -1.501191E-08   -8.252959E-09 
    28      3    2.901961E-09    1.018382E-08 
    28      4   -1.413783E-09    1.128483E-08 
    28      5    1.196966E-08   -4.721737E-09 
    28      6   -4.611631E-09    1.292731E-08 
    28      7   -2.585877E-09    5.653412E-09 
    28      8   -3.068095E-09   -1.757977E-09 
    28      9    9.281058E-09   -1.269530E-08 
    28     10   -1.062799E-08    7.967196E-09 
    28     11   -3.543348E-09   -1.837620E-09 
    28     12   -8.668198E-10    1.033798E-08 
    28     13    2.126182E-09    5.900147E-09 
    28     14   -8.120136E-09   -1.286151E-08 
    28     15   -1.224867E-08   -2.186007E-09 
    28     16   -4.640400E-09   -1.328009E-08 
    28     17    1.379639E-08   -4.980296E-09 
    28     18    5.705948E-09   -3.333922E-09 
    28     19    6.276117E-09    2.410744E-08 
    28     20   -1.521708E-09    6.497870E-09 
    28     21    6.775909E-09    6.615550E-09 
    28     22   -2.232245E-09   -7.309500E-09 
    28     23    6.887933E-09    2.667914E-09 
    28     24    1.105657E-08   -1.388730E-08 
    28     25    7.367996E-09   -1.745061E-08 
    28     26    1.207049E-08    3.828087E-09 
    28     27   -8.032082E-09    1.204974E-09 
    28     28    6.814510E-09    6.683664E-09 
    29      0   -5.276509E-09   -5.276509E-09 
    29      1    4.029606E-09   -1.352766E-08 
    29      2   -2.378482E-09   -2.444985E-09 
    29      3    3.814789E-09   -1.157560E-08 
    29      4   -2.538993E-08    2.400018E-09 
    29      5   -7.982600E-09    5.956616E-09 
    29      6    1.164892E-08    1.038530E-08 
    29      7   -3.589471E-09   -3.150028E-09 
    29      8   -1.957820E-08    9.578514E-09 
    29      9    7.584370E-11    2.692120E-09 
    29     10    1.375922E-08    5.547242E-11 
    29     11   -6.229025E-09    6.867534E-09 
    29     12   -7.795675E-10   -4.857372E-09 
    29     13   -1.448991E-09   -2.637410E-09 
    29     14   -3.078173E-09   -4.722888E-09 
    29     15   -9.482843E-09   -7.049756E-09 
    29     16    1.534014E-10   -1.468489E-08 
    29     17   -2.283345E-09   -4.711331E-09 
    29     18   -3.551803E-09   -2.822153E-09 
    29     19   -6.212578E-09    6.814739E-09 
    29     20   -8.122657E-09    5.786213E-09 
    29     21   -9.959263E-09   -5.139622E-09 
    29     22    1.171178E-08   -1.238565E-09 
    29     23   -1.911248E-09    2.219310E-09 
    29     24    3.110772E-10   -2.239506E-09 
    29     25    5.788990E-09    8.741873E-09 
    29     26    7.860750E-09   -6.813464E-09 
    29     27   -7.731590E-09   -7.116874E-10 
    29     28    9.536081E-09   -5.741752E-09 
    29     29    1.280378E-08   -5.214062E-09 
    30      0    6.254605E-09    6.254605E-09 
    30      1    2.727667E-10    1.084532E-09 
    30      2   -9.963961E-09   -1.171890E-09 
    30      3    3.916964E-09   -1.373579E-08 
    30      4   -1.666971E-09   -3.757382E-09 
    30      5   -2.635989E-09   -5.675095E-09 
    30      6   -1.596420E-10    8.362670E-10 
    30      7    2.392946E-09    3.813915E-09 
    30      8    4.656829E-09    3.270571E-09 
    30      9   -8.021699E-09   -1.170964E-08 
    30     10    4.888455E-09   -4.957277E-09 
    30     11   -9.549353E-09    1.038784E-08 
    30     12    1.709849E-08   -1.073751E-08 
    30     13    1.379455E-08    2.979458E-09 
    30     14    4.837132E-09    8.122621E-09 
    30     15    6.559006E-10   -1.063646E-09 
    30     16   -1.056691E-08    4.142474E-09 
    30     17   -6.885569E-09   -5.875029E-09 
    30     18   -1.116234E-08   -7.965831E-09 
    30     19   -1.363034E-08    2.749583E-09 
    30     20   -5.222763E-09    1.333913E-08 
    30     21   -1.166551E-08   -5.543856E-09 
    30     22   -5.244193E-09   -8.707800E-09 
    30     23    5.392318E-09   -1.097561E-08 
    30     24   -2.739261E-09   -2.581318E-09 
    30     25    3.079157E-09   -1.571945E-08 
    30     26    1.358084E-09    1.255250E-08 
    30     27   -7.730219E-09    1.255384E-08 
    30     28   -5.825205E-09   -8.093064E-09 
    30     29    3.938025E-09    1.876471E-09 
    30     30    2.585828E-09    8.474948E-09 
    31      0    6.761359E-09    6.761359E-09 
    31      1    7.122594E-09   -1.847521E-08 
    31      2    6.261525E-09    5.114651E-09 
    31      3   -6.594216E-09   -7.543133E-09 
    31      4    1.138993E-08   -5.173690E-09 
    31      5   -1.148086E-08    5.456971E-09 
    31      6   -8.551947E-11   -2.930099E-10 
    31      7   -1.507327E-09   -1.341564E-09 
    31      8   -3.132537E-09    2.139920E-09 
    31      9    9.053222E-10    5.848566E-09 
    31     10    4.370805E-09   -4.892552E-09 
    31     11    1.985850E-09    2.170449E-08 
    31     12    5.730119E-10    3.994534E-09 
    31     13    9.756794E-09    4.666899E-09 
    31     14   -8.055616E-09    3.233436E-09 
    31     15    4.158978E-09   -2.363353E-09 
    31     16   -6.880213E-09    6.140685E-09 
    31     17   -2.944872E-09    6.851989E-09 
    31     18   -5.299466E-10   -2.427025E-09 
    31     19    2.138781E-09    4.768658E-09 
    31     20   -2.449524E-09    5.732163E-09 
    31     21   -9.954627E-09    7.432748E-09 
    31     22   -9.889691E-09   -1.122992E-08 
    31     23    8.063897E-09    4.306501E-09 
    31     24   -2.892475E-09   -3.715998E-09 
    31     25   -1.664088E-08   -1.762798E-09 
    31     26   -1.285487E-08    1.782449E-09 
    31     27   -1.136196E-09    1.103345E-08 
    31     28    1.021117E-08    2.842577E-09 
    31     29   -2.022309E-09   -2.323181E-09 
    31     30   -8.247931E-10   -8.133373E-09 
    31     31   -8.819952E-09   -1.583204E-09 
    32      0   -2.402746E-09   -2.402746E-09 
    32      1   -7.626311E-11    3.575953E-09 
    32      2    1.150374E-08   -2.872877E-09 
    32      3   -4.205834E-10    3.738872E-09 
    32      4    1.973642E-09   -7.306085E-09 
    32      5    9.631605E-09    1.279603E-09 
    32      6   -1.118750E-08   -8.394485E-09 
    32      7    1.047270E-09    4.453752E-09 
    32      8    1.344032E-08    7.284250E-09 
    32      9    5.478202E-09   -1.484434E-09 
    32     10   -1.416493E-09   -4.991806E-09 
    32     11   -3.527675E-09    7.912817E-09 
    32     12   -1.708056E-08    1.374086E-08 
    32     13    4.138931E-09    4.777113E-09 
    32     14   -5.530755E-09    1.961271E-09 
    32     15    4.837741E-09   -8.419542E-09 
    32     16    3.737458E-09    3.872119E-09 
    32     17   -6.506742E-09    1.008692E-08 
    32     18    1.302481E-08   -1.765293E-09 
    32     19    7.027280E-10   -2.872679E-09 
    32     20    2.964339E-09   -1.345781E-10 
    32     21   -2.384543E-09    1.169739E-08 
    32     22   -1.227831E-08   -2.363852E-09 
    32     23    7.667162E-09   -2.505757E-09 
    32     24   -3.750583E-09    1.420490E-10 
    32     25   -1.933534E-08   -5.803511E-09 
    32     26    5.364984E-09   -3.830759E-09 
    32     27   -5.054887E-09   -6.698648E-09 
    32     28    1.577917E-09   -5.701936E-09 
    32     29    3.748607E-09    2.993670E-09 
    32     30   -6.921409E-09    1.335532E-09 
    32     31   -6.090428E-09   -2.952202E-10 
    32     32    3.474795E-09    1.267211E-09 
    33      0   -3.633162E-09   -3.633162E-09 
    33      1   -1.750636E-09   -3.888763E-09 
    33      2   -6.056657E-09    2.323331E-09 
    33      3   -3.891308E-10    6.159011E-09 
    33      4   -6.405986E-09    5.089933E-09 
    33      5   -3.242497E-10    4.278462E-09 
    33      6    5.147222E-10   -2.598865E-09 
    33      7   -3.737198E-09    7.390411E-10 
    33      8   -4.000389E-09    1.508395E-08 
    33      9    5.241629E-09    1.098650E-08 
    33     10   -1.605661E-09    1.145069E-09 
    33     11    2.050302E-09   -6.682257E-09 
    33     12   -1.001583E-09    9.692542E-09 
    33     13    2.059939E-09    2.974730E-09 
    33     14    4.882797E-09    5.648511E-09 
    33     15   -4.613606E-09   -3.473182E-09 
    33     16    6.757998E-09    5.604308E-09 
    33     17   -5.186717E-09    1.234715E-08 
    33     18   -1.024353E-08   -2.945791E-09 
    33     19    8.008356E-09    2.279506E-09 
    33     20   -3.546489E-09   -8.454645E-09 
    33     21    8.121680E-10    2.382556E-10 
    33     22   -9.406148E-09   -1.534396E-08 
    33     23   -3.440806E-10   -1.052319E-08 
    33     24    1.110557E-08   -9.150073E-09 
    33     25    5.083470E-09   -1.062301E-08 
    33     26    1.030645E-08    4.573837E-09 
    33     27   -9.861236E-10    1.068434E-09 
    33     28    1.527182E-09   -7.861650E-10 
    33     29   -1.643632E-08    5.518350E-09 
    33     30   -1.616412E-09   -1.842629E-08 
    33     31    4.252899E-09    8.542474E-10 
    33     32    6.252238E-09   -4.698164E-09 
    33     33   -1.685957E-09    8.351926E-09 
    34      0   -8.935470E-09   -8.935470E-09 
    34      1   -4.218994E-10    6.529048E-09 
    34      2    6.943434E-09    7.541858E-09 
    34      3    1.339444E-08    8.555604E-09 
    34      4   -8.085046E-09    3.294929E-10 
    34      5   -4.344791E-09    2.637373E-09 
    34      6   -7.341087E-10    6.672028E-09 
    34      7    2.126651E-09   -6.910698E-09 
    34      8   -7.515760E-09    6.166036E-09 
    34      9    2.292704E-11   -2.171254E-10 
    34     10   -9.527073E-09    1.810282E-09 
