     n      m             Cnm             Snm 
    21      9    1.585400E-08    9.079612E-09 
    21     10   -1.140064E-08   -1.137951E-09 
    21     11    6.893870E-09   -3.557966E-08 
    21     12   -3.327630E-09    1.477424E-08 
    21     13   -1.936600E-08    1.393655E-08 
    21     14    2.026728E-08    7.353611E-09 
    21     15    1.757309E-08    1.036954E-08 
    21     16    7.491254E-09   -6.654488E-09 
    21     17   -7.467444E-09   -7.376378E-09 
    21     18    2.647348E-08   -1.107161E-08 
    21     19   -2.720431E-08    1.655358E-08 
    21     20   -2.694487E-08    1.591987E-08 
    21     21    8.454147E-09   -3.655596E-09 
    22      0   -1.077784E-08   -1.077784E-08 
    22      1    1.568154E-08   -3.836699E-09 
    22      2   -2.649058E-08   -1.160644E-09 
    22      3    1.134560E-08    1.012216E-08 
    22      4   -3.617855E-09    1.872926E-08 
    22      5    9.338608E-11   -3.184913E-10 
    22      6    1.016262E-08   -5.508717E-09 
    22      7    1.746445E-08    4.747405E-09 
    22      8   -2.350026E-08    3.815365E-09 
    22      9    6.681564E-09    8.377655E-09 
    22     10    5.624729E-09    2.235121E-08 
    22     11   -4.815739E-09   -1.756355E-08 
    22     12    2.419068E-09   -8.211966E-09 
    22     13   -1.715903E-08    1.951325E-08 
    22     14    1.087303E-08    8.327811E-09 
    22     15    2.576900E-08    4.713032E-09 
    22     16    1.089411E-10   -7.290804E-09 
    22     17    8.567616E-09   -1.459515E-08 
    22     18    1.019670E-08   -1.619945E-08 
    22     19    1.405536E-08   -3.361563E-09 
    22     20   -1.677167E-08    1.958118E-08 
    22     21   -2.531635E-08    2.396871E-08 
    22     22   -1.008669E-08    2.336101E-09 
    23      0   -2.225672E-08   -2.225672E-08 
    23      1    9.172416E-09    1.619043E-08 
    23      2   -1.439291E-08   -4.587360E-09 
    23      3   -2.407615E-08   -1.749661E-08 
    23      4   -2.387063E-08    8.285568E-09 
    23      5   -8.817056E-10    1.636166E-10 
    23      6   -1.193050E-08    1.613082E-08 
    23      7   -6.888027E-09   -1.914230E-09 
    23      8    7.356522E-09    1.812252E-10 
    23      9    1.818590E-09   -1.284950E-08 
    23     10    1.685934E-08   -2.266845E-09 
    23     11    9.231987E-09    1.429316E-08 
    23     12    1.646478E-08   -1.201133E-08 
    23     13   -1.161291E-08   -5.205074E-09 
    23     14    6.958953E-09   -1.464981E-09 
    23     15    1.894635E-08   -3.590356E-09 
    23     16    5.903884E-09    1.107461E-08 
    23     17   -5.462757E-09   -1.293311E-08 
    23     18    8.544400E-09   -1.481662E-08 
    23     19   -5.475901E-09    1.065516E-08 
    23     20    7.970891E-09   -5.456497E-09 
    23     21    1.571088E-08    1.174357E-08 
    23     22   -1.797481E-08    4.730068E-09 
    23     23    3.055503E-09   -1.204761E-08 
    24      0   -7.503630E-11   -7.503630E-11 
    24      1   -2.728912E-09   -1.532126E-09 
    24      2    9.559303E-10    1.515925E-08 
    24      3   -4.809138E-09   -9.735543E-09 
    24      4    5.969043E-09    5.091331E-09 
    24      5   -7.125097E-09   -2.142735E-08 
    24      6    3.620856E-09    1.359707E-09 
    24      7   -6.064309E-09    4.916465E-09 
    24      8    1.540668E-08   -3.608211E-09 
    24      9   -1.157620E-08   -1.783571E-08 
    24     10    1.097264E-08    2.125835E-08 
    24     11    1.518712E-08    1.780465E-08 
    24     12    1.148731E-08   -6.181085E-09 
    24     13   -3.021861E-09    2.934888E-09 
    24     14   -1.995488E-08   -2.043883E-09 
    24     15    6.357393E-09   -1.595812E-08 
    24     16    8.444277E-09    2.720639E-09 
    24     17   -1.194272E-08   -6.442338E-09 
    24     18   -3.696782E-10   -1.030065E-08 
    24     19   -4.445402E-09   -8.675571E-09 
    24     20   -5.656581E-09    8.639119E-09 
    24     21    5.539859E-09    1.411762E-08 
    24     22    3.989494E-09   -3.934141E-09 
    24     23   -6.193591E-09   -8.821714E-09 
    24     24    1.265913E-08   -3.687222E-09 
    25      0    3.208139E-09    3.208139E-09 
    25      1    6.371851E-09   -9.159357E-09 
    25      2    2.272035E-08    9.344445E-09 
    25      3   -9.680524E-09   -1.430724E-08 
    25      4    1.016257E-08    2.917928E-10 
    25      5   -1.104265E-08   -4.128568E-10 
    25      6    1.627205E-08    1.673393E-10 
    25      7    9.593540E-09   -6.622133E-09 
    25      8    2.079905E-09    1.822899E-10 
    25      9   -3.037443E-08    2.295288E-08 
    25     10    8.994167E-09   -4.414312E-09 
    25     11    1.891118E-09    1.032037E-08 
    25     12   -7.759031E-09    1.156988E-08 
    25     13    7.962988E-09   -1.165243E-08 
    25     14   -1.992146E-08    6.561682E-09 
    25     15   -4.444952E-09   -7.411419E-09 
    25     16    1.303222E-09   -1.290345E-08 
    25     17   -1.551298E-08   -3.705405E-09 
    25     18    1.537574E-09   -1.488332E-08 
    25     19    7.764061E-09    9.804529E-09 
    25     20   -7.983853E-09   -9.637873E-10 
    25     21    1.069643E-08    7.760037E-09 
    25     22   -1.413617E-08    3.860815E-09 
    25     23    8.584274E-09   -1.263528E-08 
    25     24    4.237930E-09   -8.394772E-09 
    25     25    1.048909E-08    4.946242E-09 
    26      0    5.889062E-09    5.889062E-09 
    26      1   -1.421818E-10   -6.648793E-09 
    26      2   -1.590447E-09    1.150825E-08 
    26      3    1.510424E-08    4.046935E-09 
    26      4    1.907585E-08   -2.022799E-08 
    26      5    1.314751E-08    7.822317E-09 
    26      6    9.602733E-09   -1.051644E-08 
    26      7   -1.586714E-09    4.449893E-09 
    26      8    3.473506E-09    1.781460E-09 
    26      9   -1.309591E-08    7.133217E-10 
    26     10   -1.496932E-08   -5.661446E-09 
    26     11   -4.626431E-09    1.677413E-09 
    26     12   -1.701170E-08    2.329501E-09 
    26     13   -1.763058E-10    1.535658E-09 
    26     14    7.670593E-09    8.065605E-09 
    26     15   -1.335711E-08    8.296339E-09 
    26     16    1.584081E-09   -6.399915E-09 
    26     17   -1.200422E-08    7.920479E-09 
    26     18   -1.293583E-08    4.898625E-09 
    26     19   -2.263952E-09    3.769532E-09 
    26     20    6.232758E-09   -1.198176E-08 
    26     21   -9.162372E-09    1.940401E-09 
    26     22    1.037424E-08    7.065878E-09 
    26     23    1.020763E-09    1.072438E-08 
    26     24    9.028418E-09    1.477975E-08 
    26     25    3.782924E-09   -5.794378E-10 
