    Lon.    Lat. Zr(m)  E(m)
  67.303 -63.738  -206   130
  68.741 -63.703   -24   138
  70.553 -63.613   -79   135
  72.174 -63.706  -208   140
  75.735 -63.580   -71   129
 153.870 -64.330  -250    85
 -97.987 -64.092   125    68
 -70.090 -64.415   211    86
 153.590 -64.546   158    75
 -97.982 -64.851    62    69
 -73.985 -65.100   -31    70
 -73.193 -64.985  -166    73
 -72.000 -65.166   -31    79
 -71.180 -65.408    85    89
-129.375 -66.399   244    63
 -72.815 -66.277  -232    95
 -72.099 -65.947   193    93
 -70.815 -65.515   163    94
   6.015 -67.011   133   106
 -75.904 -67.108  -684   112
 -75.385 -67.459  -413   125
  -4.955 -67.070   132    72
   6.036 -67.638   435    78
 -78.820 -68.347  -610    97
 -77.988 -68.053  -681    96
 -77.265 -67.797  -611   102
 -75.505 -67.514  -387   125
 -40.965 -69.084  -568   151
 -40.470 -68.782  -638   136
   2.194  78.694   897    82
   3.893  78.860   187   119
   2.194  78.694   897    82
   6.355  76.658  1190    83
   8.660  76.915  1388    96
  14.515  75.405   734   249
 -74.047  74.169  -314   382
   3.488  72.529  1111    35
-132.600  73.078 -2136   436
-131.763  73.040 -2176   463
 -13.795  73.240  1335    85
   2.297  72.270  1051    78
   3.572  72.007  1204    75
-143.235  71.719 -1946   381
-134.105  71.899 -2203   532
 -14.955  72.223  1728   100
   2.297  72.270  1051    78
   4.330  71.363   898    94
 -17.645  70.686   882    96
 -17.310  71.000  1083    91
   7.046  70.241   691    98
   8.025  70.059   734   108
 -19.170  70.080  1087   159
 -16.245  70.085  1236    60
